priority_rank,name,slug,threadcount,palette,symmetric,thread_total,demand_score,category,sources_verifying,verified_by,colour_agreement,listed_house_of_tartan,listed_weddslist,primary_source,designer,tartan_date,stwr_ref,restriction_status,restrictions,origin_url
63,Park,park,G/6 R4 G6 R8 G68 K4 G4 K4 G8 K32 B32 R/6,K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED;,yes,352,70,Clan; Family,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,yes,Scottish Register of Tartans,"Lumsden, Keith",01/09/1996,2387.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=3290
64,Regan/O'Riagain,regan-o-riagain,Y/8 W8 B16 K8 B16 Y8 P80 W8 K8 P/8,K#101010 BLACK; B#2C2C80 BLUE; P#780078 PURPLE; W#E0E0E0 WHITE; Y#E8C000 YELLOW;,yes,320,70,Clan; Family,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Smith, Donald Suttie",01/01/2002,,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=3489
65,Souza Nery (Personal),souza-nery-personal,W/6 B74 S6 K34 S6 G44 YY/8,YY#FCCC00; S#C8002C; B#2C2C80; W#E0E0E0; G#006818; K#101010;,yes,342,70,Name,2,Scottish Tartans Authority; Weddslist,2/2,no,yes,Scottish Tartans Authority,Scottish Tartans Society,01/01/1997,2651.0,weaver_note,Yes.,http://www.tartansauthority.com/tartan-ferret/display/2651/
66,Traill (Personal),traill-personal,R/32 Y4 T14 Y4 LB48 K4 LG/4,K#101010 BLACK; T#604000 BROWN; Y#E8C000 YELLOW; R#C80000 RED; LB#2888C4 LIGHT BLUE; LG#289C18 LIGHT GREEN;,yes,184,70,Clan; Family,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,yes,Scottish Register of Tartans,"Balfour-Traill, Cynthia",24/08/2002,2927.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4146
67,"Walker, Dress (Personal)",walker-dress-personal,MY/8 RB4 R14 RB30 R6 RB6 R6 RB14 CW56 T14 CW12 T/4,CW#F0F0D8 CLEAR; DR#880000 DARK RED; ET#4C0000 EARTH; MY#D09800 M YELLOW; RB#1C0070 ROYAL BLUE; DCR#A00048 CRIMSON; R#C80000 RED; T#604000 BROWN;,yes,336,70,Clan; Family,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,yes,Scottish Register of Tartans,"Hawks, Robert Walker",01/01/1993,2070.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4479
68,Walter (Personal),walter-personal,R/48 WW6 Y8 DG36 P36 OG6 A/8,A#5C8CA8; WW#FCFCFC; R#C80000; Y#E8C000; P#780078; OG#5C6428; DG#003820;,yes,240,70,Name,2,Scottish Tartans Authority; Weddslist,2/2,no,yes,Scottish Tartans Authority,"Scarlett MBE, Jamie",01/01/1994,2436.0,weaver_note,Yes.,http://www.tartansauthority.com/tartan-ferret/display/2436/
69,"d'Andeville, Xavier (Personal)",d-andeville-xavier-personal,R/26 W18 R26 W32 R20 W4 K2 W4 K2 W4 K2 W4 K2 W/4,R#FF0000 SCARLET RED; W#F9F5EF PEROXIDE WHITE; K#1C1714 BLACK;,yes,270,70,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"d'Andeville, Xavier",09/11/2009,,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10298
70,de Baseggio (Golden Bones),de-baseggio-golden-bones,B/16 DB24 G4 W4 R4 DB24 B16 DB8 Y4 DB4 Y4 DB4 Y4 DB8 Y12 DB/12,B#5F749C BALMORAL BLUE; Y#E0A126 GOLD; W#F9F5EF PEROXIDE WHITE; G#649848 ROSS GREEN; R#CA2625 BRIGHT SCARLET; DB#041B67 ILLINOIS NAVY;,yes,276,70,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"de Baseggio, Mario",23/05/2012,,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10628
71,Pinney's of Scotland,pinney-s-of-scotland,DB/8 G4 B20 Y2 B4 G26 DB22 G26 B26 Y/4,B#2C2C80 BLUE; DB#202060 DARK BLUE; G#006818 GREEN; Y#E8C000 YELLOW;,yes,272,67,Corporate,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,no,yes,Scottish Register of Tartans,"Lumsden, Keith",01/07/1996,2284.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=3343
72,Wilson's No.156,wilson-s-no-156,R/16 K4 R8 W8 R28 G40 Y6 K30 A22 K4 W12 K4 Y4 K8 A8 W4 R/60,W#E0E0E0 WHITE; A#5C8CA8 LIGHT BLUE; Y#E8C000 YELLOW; G#006818 GREEN; R#C80000 SCARLET; K#101010 BLACK;,yes,456,67,Fashion,2,Scottish Register of Tartans; Weddslist,2/2,no,yes,Scottish Register of Tartans,William Wilson & Sons of Bannockburn,01/01/1819,1599.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4700
73,Wilson's No.234,wilson-s-no-234,K6 R16,R#C80000 RED; K#101010 BLACK;,no,22,67,Fashion,2,Scottish Register of Tartans; Weddslist,2/2,no,yes,Scottish Register of Tartans,Wilson and Sons of Bannockburn,01/01/1819,1188.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4761
74,Ensemble Pour L'Avenir,ensemble-pour-l-avenir,B/6 N2 B4 XR28 N4 XR2 N4 B20 XR20 B20 W4 XR4 W4 XR28 N12 XR20 B20 W/4,W#E0E0E0 WHITE; XR#C80000 BASIC RED; N#888888 GREY; B#2C2C80 BLUE;,yes,402,65,District,2,Scottish Register of Tartans; Weddslist,2/2,no,yes,Scottish Register of Tartans,"Morin, Mme",01/01/1998,2595.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=1113
75,"Gudbrandsdalen, Rondastakken",gudbrandsdalen-rondastakken,R/22 G6 R6 G22 DR8 R6 WW4 R/130,G#006818 GREEN; DG#003820 DARK GREEN; DR#880000 DARK RED; R#C80000 RED; WW#FCFCFC WILSON WHITE;,yes,256,65,District,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,yes,Scottish Register of Tartans,,01/01/1830,2086.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=1556
76,Ivanka Trump (Personal),ivanka-trump-personal,CLR/24 WW4 K8 WW8 K2 WW48 CLR4 WW4 CLR4 WW4 LB2 WW2 MP6 K4 WW/24,CLR#E87878 CORAL; LB#2888C4 LIGHT BLUE; MP#9C68A4 MAUVE; WW#F8F8F8 WILSON WHITE; K#101010 BLACK;,yes,248,65,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,,,,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5795
77,King George VI,king-george-vi,R/6 G48 K8 Y4 K6 B4 K12 R8 K4 R6 W/4,R#DC0000 RED; G#005020 MOD GREEN; K#101010 BLACK; Y#E8C000 YELLOW; B#2C4084 BLUE; W#E0E0E0 WHITE;,yes,210,65,Clan; Family,2,Scottish Register of Tartans; Weddslist,2/2,no,yes,Scottish Register of Tartans,,,1484.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=1984
78,MacDonald of Aird & Valley,macdonald-of-aird-valley,G/32 DR4 G4 DR48 RB4 DR4 RB12 DR4 RB4 DR8 G32 DR4 RB4 DR/48,DR#880000 DARK RED; G#006818 GREEN; RB#1C0070 ROYAL BLUE;,yes,344,65,Clan; Family,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,,,,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5024
79,Murray of Abercairney (Personal),murray-of-abercairney-personal,A/6 N2 K2 R24 LR2 G18 LR2 N2 A/6,A#3C82AF BLUE; N#808080 MISSING COLOUR; K#101010 BLACK; R#DC0000 RED; LR#C82828 RED; G#005020 MOD GREEN;,yes,116,65,Name,2,Scottish Register of Tartans; Weddslist,2/2,no,yes,Scottish Register of Tartans,,,383.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=3060
80,Nor'Westers,nor-westers,K/2 BL12 R4 WW24 T4 Y8 T4 WG60 K/2,K#101010 BLACK; B#2C2C80 BLUE; T#604000 BROWN; G#006818 GREEN; R#C80000 RED; W#E0E0E0 WHITE; Y#E8C000 YELLOW; BL#1474B4 BALMORAL BLUE; WG#408060 WTHRD GREEN; WW#F8F8F8 WILSON WHITE;,yes,236,65,Commemorative,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,yes,yes,Scottish Register of Tartans,"Halliday, Miss Evelyn B",01/01/1963,1067.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=3146
81,O'Sullivan,o-sullivan,BL/24 K16 BL40 WW8 RB40 WG16 RB24 WG36 R8 WG16 DY/8,K#101010 BLACK; B#2C2C80 BLUE; DR#880000 DARK RED; DY#E8C000 GOLD; G#006818 GREEN; LN#C0C0C0 LIGHT GRAY; RB#1C0070 ROYAL BLUE; WG#408060 WTHRD GREEN; R#C80000 RED; WW#FCFCFC WILSON WHITE; BL#1474B4 BALMORAL BLUE;,yes,440,65,Clan; Family,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,,01/06/2000,2704.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=3272
82,Sinclair-Brown (Personal),sinclair-brown-personal,B/128 K22 R4 K8 R4 K8 G64 GO/8,GO#BC8C00; K#101010; R#C80000; B#2C2C80; G#006818;,yes,356,65,Name,2,Scottish Tartans Authority; Weddslist,2/2,no,yes,Scottish Tartans Authority,,01/01/2002,2189.0,weaver_note,Yes.,http://www.tartansauthority.com/tartan-ferret/display/2189/
83,A2 (Personal),a2-personal,NB/6 R6 NB60 LRB6 NB6 LRB30 NB6 W/6,XB#38409C OXFORD; LRB#5488AC BALMORAL BLUE; R#C80000 RED; W#E0E0E0 WHITE; NB#003C64 NAVY BLUE;,yes,240,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Von Kampen, Albert",,,weaver_note,Yes. Personal tartan.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5708
84,"Abbink, Ingmar (Personal)",abbink-ingmar-personal,G/10 Y44 K22 B44 R/78,R#C8002C RED; B#5F749C BLUE; K#101010 BLACK; Y#F8E38C YELLOW; G#649848 GREEN;,yes,308,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Abbink, Ingmar",29/05/2014,,weaver_note,Yes. Permission to wear/use/weave this tartan must be sought from the designer.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=11071
85,Affara (Personal),affara-personal,B/160 K10 G24 K4 Y4 G4 K/20,K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN; Y#E8C000 YELLOW;,yes,272,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,Celtic Craft Centre,01/03/2002,,weaver_note,Yes. Personal tartan for Dr Affara and his family.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=25
86,Alexander-Johnstone (Personal),alexander-johnstone-personal,W/4 K2 G16 P4 G16 K4 B4 K4 B4 K4 B48 K2 B4 Y/6,K#101010 BLACK; B#003C64 AZURE; Y#FFFF00 YELLOW; G#003820 GREEN; P#9C68A4 PURPLE; W#FCFCFC WHITE;,yes,234,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Alexander, Chris",14/08/2013,,weaver_note,Yes. Immediate family members may wear this tartan but anyone else wishing to use it should contact the designer.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10907
87,Ayrton of Laoch (Personal),ayrton-of-laoch-personal,R/4 B8 G4 B4 G4 B6 G24 DY4 G24 R/4,B#2C2C80 BLUE; DY#E8C000 GOLD; G#006818 GREEN; R#C80000 RED;,yes,164,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Ayrton, Mr S",01/01/1978,1330.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=156
88,Baileville (Personal),baileville-personal,Y/4 K16 Y4 K16 Y44 M4 Y/4,K#101010 BLACK; M#901C38 MARROON; Y#E8C000 YELLOW;,yes,176,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Gurney, David R",01/01/1993,2326.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=159
89,Barton-Watson de Bavidge (Personal),barton-watson-de-bavidge-personal,P/6 VDB32 S6 DG34 K32 VDB52 DY2 P/6,K#101010 BLACK; DY#E8C000 GOLD; G#006818 GREEN; NB#003C64 NAVY BLUE; P#680068 PURPLE; S#AC0024 SCARLET; VDB#00002C MIDNIGHT; DG#003820 DARK GREEN;,yes,328,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Barton-Watson, Major A J S de",01/01/1999,2664.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=225
90,"Bean Hunting Clan Tartan Tartan Number: 106. Earliest known date: 1987 The weaving and wearing of this tartan is 'Restricted'. This is not a legal definition and is applied by the Scottish Tartans Society irrespective of Design Patent or Copyright, in the spirit of a gentlemans agreement. Interested parties should contact the person listed under 'Source:' in this document. See products available Copyright © Blair Urquhart, Comrie, 2015",bean-hunting-clan-tartan-tartan-number-106-earliest-known-date-1987-the-weaving-and-wearing-of-this-tartan-is-restricted-this-is-not-a-legal-definition-and-is-applied-by-the-scottish-tartans-society-irrespective-of-design-patent-or-copyright-in-the-spirit-of-a-gentlemans-agreement-interested-parties-should-contact-the-person-listed-under-source-in-this-document-see-products-available-copyright-blair-urquhart-comrie-2015,RB/6 DG41 DB20 S15 DG41 S15 DB/6,DB#202060 DARK BLUE; DG#003820 DARK GREEN; RB#1C0070 ROYAL BLUE; S#C8002C SCARLET;,yes,276,60,Scottish Tartans Society,2,House of Tartan; Weddslist,1/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=106
91,Bell of Ardbel (Personal),bell-of-ardbel-personal,OG10 CW4 OG4 P8 OG64 P2 M50 DT8 M8 DT14,DT#441800 DARK BROWN; M#901C38 MARROON; P#780078 PURPLE; CW#FCFCFC WILSON WHITE; OG#5C6428 OLIVE GREEN;,no,172,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Dalgliesh, D C",01/12/1994,2613.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=242
92,Ben Murad (Personal),ben-murad-personal,LB10 G4 B10 G6 R4 G6 Y10 G4 DG10 G36 R6 G6 R28 DG26 R30 G6 R6 G36,Y#947024 YELLOW; G#244830 GREEN; R#AC2444 RED; DG#645028 DARK GREEN; LB#447888 LIGHT BLUE; B#205074 BLUE;,no,244,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Urquhart, Blair",,,weaver_note,"Yes. Please contact Roy Murad, Toronto, Ontario L4J 1W3, to wear or use this tartan. Roy Murad [RMurad@linkrp.com] Tel +1 905-764-5465 x 226 Developed for weaving by House of Tartan Ltd, Scotland.",https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=11003
93,Binder Wedding (Personal),binder-wedding-personal,PG/2 B2 K2 B60 K60 W4 B10 Y/2,PG#649848 PALE GREEN; B#2C4084 BLUE; K#101010 BLACK; W#FFFFFF WHITE; Y#FFE600 YELLOW;,yes,280,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Binder, Anna",10/09/2012,,weaver_note,Yes. For family members only.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10728
94,"Birral Burrell Clan Tartan Tartan Number: 658. Earliest known date: 1819 The accounts books of the old firm of weavers, Wilson's of Bannockburn, provide a reliable early source for this tartan. Wilson's were in business with a monopoly to supply tartan to the regiments in the second half of the 18th century before this pattern was recorded. See products available Copyright © Blair Urquhart, Comrie, 2015",birral-burrell-clan-tartan-tartan-number-658-earliest-known-date-1819-the-accounts-books-of-the-old-firm-of-weavers-wilson-s-of-bannockburn-provide-a-reliable-early-source-for-this-tartan-wilson-s-were-in-business-with-a-monopoly-to-supply-tartan-to-the-regiments-in-the-second-half-of-the-18th-century-before-this-pattern-was-recorded-see-products-available-copyright-blair-urquhart-comrie-2015,P/32 W4 R16 LR8 P4 LR8 R16 W4 G64 W4 P16 A8 W4 A8 P16 W4 R/130,A#5C8CA8 AZURE; G#006818 GREEN; P#780078 PURPLE; R#C80000 RED; LR#D05054 ROSE; W#E0E0E0 WHITE;,yes,530,60,Scottish Tartans Society,2,House of Tartan; Weddslist,2/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=658
95,"Bisset Clan Tartan Tartan Number: 1478. Earliest known date: 1976 One of the first tartans designed by the Scottish Tartans Society for a Mrs E. Bisset, who gave the following details for the colours of the sett: The blue and white of the Bisset shield, yellow and black representing the motto, red for the 'eternal flame' and the local tartan; all on a green background. The motto of the Bissets is 'Abscissa virescit' meaning 'Cut me down and I shall grow again'. The yellow represents the wood chips from the axe and the green for the fresh new growth. Bissets are represented in the histories of prominent Scottish families through the female line. Both Chisholms and Frasers married heiress's of the Bisset family. The result being that the Bisset surname has greatly reduced in number. There is no chief of the family at present (1993) but the senior branch are the Bissets of Lessendrum in Aberdeenshire. See products available Copyright © Blair Urquhart, Comrie, 2015",bisset-clan-tartan-tartan-number-1478-earliest-known-date-1976-one-of-the-first-tartans-designed-by-the-scottish-tartans-society-for-a-mrs-e-bisset-who-gave-the-following-details-for-the-colours-of-the-sett-the-blue-and-white-of-the-bisset-shield-yellow-and-black-representing-the-motto-red-for-the-eternal-flame-and-the-local-tartan-all-on-a-green-background-the-motto-of-the-bissets-is-abscissa-virescit-meaning-cut-me-down-and-i-shall-grow-again-the-yellow-represents-the-wood-chips-from-the-axe-and-the-green-for-the-fresh-new-growth-bissets-are-represented-in-the-histories-of-prominent-scottish-families-through-the-female-line-both-chisholms-and-frasers-married-heiress-s-of-the-bisset-family-the-result-being-that-the-bisset-surname-has-greatly-reduced-in-number-there-is-no-chief-of-the-family-at-present-1993-but-the-senior-branch-are-the-bissets-of-lessendrum-in-aberdeenshire-see-products-available-copyright-blair-urquhart-comrie-2015,R/12 G24 K8 G8 K4 Y4 G8 B12 W/4,K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED; W#E0E0E0 WHITE; Y#E8C000 YELLOW;,yes,152,60,Scottish Tartans Society,2,House of Tartan; Weddslist,2/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=1478
96,"Blair Clan Tartan Tartan Number: 416. Earliest known date: pre 1963 Described by MacKinlay as a ""Modern family sett"". See products available Copyright © Blair Urquhart, Comrie, 2015",blair-clan-tartan-tartan-number-416-earliest-known-date-pre-1963-described-by-mackinlay-as-a-modern-family-sett-see-products-available-copyright-blair-urquhart-comrie-2015,B/12 R4 B40 K32 G40 R4 G/12,K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED;,yes,264,60,Scottish Tartans Society,2,House of Tartan; Weddslist,2/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=416
97,"Blair Dress Clan Tartan Tartan Number: 483. Earliest known date: 1988 Approved by the Clan Blair Society. Registered STS 1988. White introduced to the existing Blair sett. See products available Copyright © Blair Urquhart, Comrie, 2015",blair-dress-clan-tartan-tartan-number-483-earliest-known-date-1988-approved-by-the-clan-blair-society-registered-sts-1988-white-introduced-to-the-existing-blair-sett-see-products-available-copyright-blair-urquhart-comrie-2015,B/4 R4 B32 K12 G32 R4 G4 R4 G32 K12 W40 R4 W/4,K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED; W#E0E0E0 WHITE;,yes,368,60,Scottish Tartans Society,2,House of Tartan; Weddslist,2/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=483
98,Bredillet (Personal),bredillet-personal,DB/32 K4 GO4 K4 GO4 K30 DB28 K4 DB28 K30 DB32 K8 WW/2,GO#BC8C00 DARK GOLD; K#101010 BLACK; WW#FFFFFF WILSON WHITE; DB#202060 DARK BLUE;,yes,386,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"MacDonald, Peter",01/06/2005,,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=346
99,Broberg (Scania) (Personal),broberg-scania-personal,DR/80 LB40 K5 DY/6,DR#800028 DARK RED; LB#98C8E8 LIGHT BLUE; K#101010 BLACK; DY#D87C00 DARK YELLOW;,yes,176,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Broberg, Göran",19/12/2013,,weaver_note,Yes. Permission must be sought from the designer to wear/use this tartan.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10979
100,Brotherston (Personal),brotherston-personal,K/20 LSB10 P20 G40 K12 G12 B20 R4 B4 R/8,K#101010 BLACK; LSB#98C8E8 LIGHT SKY; G#006818 GREEN; B#2C2C80 BLUE; R#C80000 RED; P#780078 PURPLE;,yes,272,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,Geoffrey (Tailor) Highland Crafts,01/09/2003,2957.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=388
101,"Brown, Barnaby (Personal)",brown-barnaby-personal,G/8 R4 G32 B8 G4 B8 G4 B40 R/8,B#202060 DARK BLUE; G#006818 GREEN; R#C8002C SCARLET;,yes,216,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Fraser, Donald",01/01/1999,2683.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=394
102,Brydon (Scottish Borders),brydon-scottish-borders,P/4 DG32 K32 DB4 K4 DB4 K4 DB30 B6 Y/4,K#1C1C1C BLACK; DB#14283C DARK BLUE; B#000080 BLUE; Y#D87C00 YELLOW; DG#004028 DARK GREEN; P#780078 PURPLE;,yes,240,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Brydon, Alan",08/08/2013,,weaver_note,Yes. Permission should be sought from the designer to weave or use this tartan.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10953
103,Buchanan (1850 - Clan),buchanan-1850-clan,B18 G46 K6 B18 K6 Y40 K6 Y40 K6 B18 K6 R40 W6 R40 K6 B18 K6 G46 B18,R#C80000; B#2C2C80; W#E0E0E0; G#006818; Y#E8C000; K#101010;,no,390,60,Robert Bradford,2,Scottish Tartans Authority; House of Tartan,2/2,yes,yes,Scottish Tartans Authority,,,,none,,http://www.tartansauthority.com/tartan-ferret/display/151/
104,"Cameron of Lochiel (Smith) Clan Tartan Tartan Number: 1398. Earliest known date: 1764 According to I.B. Cameron Taylor from a portrait in Achnacarry of the Gentle Lochiel painted by George Chalmers in 1764. He wrote, ""Of the unknown Cameron tartans in existence today, the Chief's personal tartan, the Cameron of Locheil, is undoubtably the oldest."" See products available Copyright © Blair Urquhart, Comrie, 2015",cameron-of-lochiel-smith-clan-tartan-tartan-number-1398-earliest-known-date-1764-according-to-i-b-cameron-taylor-from-a-portrait-in-achnacarry-of-the-gentle-lochiel-painted-by-george-chalmers-in-1764-he-wrote-of-the-unknown-cameron-tartans-in-existence-today-the-chief-s-personal-tartan-the-cameron-of-locheil-is-undoubtably-the-oldest-see-products-available-copyright-blair-urquhart-comrie-2015,R/8 B16 R4 B2 W2 B2 R12 G6 R/12,B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED; W#E0E0E0 WHITE;,yes,108,60,Scottish Tartans Society,2,House of Tartan; Weddslist,2/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=1398
